company_name,founded,city,industry,about,founders,investor,amount,series
Chargeup,2019.0,New delhi,Renewable energy,"""battery as a service"" for 3 wheeler & 2 wheelers","Varun goenka, akshay kashyap",Mapmyindia,undisclosed,Pre-series a
Leap india,2013.0,Mumbai,Logistics & supply chain,"""leading enterprise in asset pooling"" india's largest sustainable supply chain solutions company.",Anurag malempati,Cdc group,10000000,
Gourmet garden,2019.0,Bangalore,Farming,"100% contamination free, pesticide free naturoponically grown vegetables.",Arjun balaji,"Beyond next ventures, m venture partners",3000000,
Dogsee chew,2015.0,Bangalore,Food & beverages,100% natural dog treats.,"Bhupendra khanal, sneh sharma",Sixth sense ventures,7000000,Pre-series a
Zouk,2016.0,Mumbai,Fashion and lifestyle,100% vegan bags from india.,Disha singh,Titan capital,Undisclosed,Seed
21k school,2020.0,Bangalore,E-learning,"21k school is india's first online school that provides a complete online school experience and personalized learning – anytime, anywhere.","Santosh kumar, yeshwanth raj parasmal, dinesh kumar, joshi kumar",Ronnie screwvala,5000000,Pre-series a
Ampm,2018.0,Gurugram,E-commerce,24*7 convenience store,Shubham gupta,Agility venture partners,"200,000",
4basecare,2018.0,Bangalore,Healthtech,4basecare develops a unified and patient-centric ecosystem to fight cancer.,"Hitesh goswami, kshitij rishi","Mount judi ventures, growx ventures, season two ventures","2,000,000",Pre-series a
4fin,2021.0,Pune,Financial services,4fin is a fintech platform catering to needs of smart bharat.,"Amit tewary, ajit sinha",Curesense therapeutics,1100000,Pre-seed
Duroflex,1963.0,Bangalore,Furniture,"5 decades of experience, superior quality and best in class innovation help us in bringing you a wide range of mattresses, pillows, protectors and other sleep solutions.",P. c. mathew,Norwest venture partners,60000000,
6degree,2014.0,Mumbai,Retail,6degree is a fashion retail startup that provides a launchpad to fashion talent and brands using a tech-enabled platform.,"Amit bhardwaj, nikhil hegde","Keiretsu forum, sucseed venture partners","1,000,000",
88academics,2018.0,New delhi,Education,88academics an 88tuition pte ltd has been established with the social objective of making quality video-based learning material available to all students.,Anil ahuja,Aarin capital,3000000,Pre-series a
8i ventures,2018.0,Mumbai,Venture capital & private equity,8i is a mumbai & bangalore based early stage fund that backs founders creating fintech and consumer category leaders in india.,Vikram chachra,,50000000,
Gobbly,2019.0,Gurugram,Retail,A 24x7 automated retail store filled with daily essentials.,"Ankur agarwal, amit ahuja","Anicut angel fund, sauce.vc",900000,Pre-series a
Vendor infra,2019.0,Gurugram,Construction,"A b2b collaboration platform for infrastructure sectors to search vendors, get quotes, find opportunities",Rahul jain,"Sk tripathi, sanjeev gupta",265000,
Captain fresh,2019.0,Bangalore,Logistics,A b2b marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham gowda,"Accel partners, matrix india",12000000,Series a
Captain fresh,2019.0,Bangalore,Logistics & supply chain,A b2b marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham gowda,"Tiger global, prosus ventures",40000000,Series b
Settlrs,2018.0,Bangalore,Rental space,"A b2b rental services company for furniture, home appliances, electronic and it infrastructure.","Gaurav ranebennur, nishanth janadri",Magehold pte. ltd.,Undisclosed,Pre-series a
Kiranakart,2020.0,Mumbai,E-commerce,A better model for instant grocery delivery in india.,"Kaivalya vohra, aadit palicha",Global founders capital,"720,000",Pre-seed
Tilt,2016.0,Bangalore,Bike rental,A bike-share for indian campuses,Deepak vs,Y combinator,"125,000",
Clensta,2016.0,New delhi,Biotechnology,A biotechnology start-up was incorporated to improve the national hygiene condition whilst addressing the aspect of water conservation.,Puneet gupta,"Ian fund, world startup factory","600,000",
Skeps,2018.0,Gurugram,Fintech,"A blockchain products company, developing a proprietary product in the fintech space","Mayank tewari, tushar srivastava",Bertelsmann india,9500000,
Mamaearth,2016.0,Gurugram,Healthcare,A brand which develops products from world-class research and attempts to solve every little problem that we as parents face.,"Varun alagh, ghazal alagh",Sofina ventures sa,50000000,
Lifecell,2004.0,Chennai,Biotechnology,A building block of the team that preserves the building blocks of life,S. abhaya kumar,Orbimed asia partners,30000000,
Neverinstall,2019.0,Bangalore,Information technology,A cloud platform to bring any gui application regardless of os and device type to the browser.,"Lakshmana pasala, ram pasala",Speciale invest,370000,Seed
Leap.club,2014.0,Gurugram,Community,A community-led professional network for women,"Ragini das, anand sinha","Enzia ventures, kunal shah",810000,Pre-series a
Melorra,2015.0,Bangalore,D2c jewellery,A company that styles jewellery for the contemporary wardrobe.,Saroja yeramili,"9unicorns, symphony international holdings limited, value quest",24000000,
Jambox games,2021.0,Bangalore,Gaming,"A competitive game publishing platform to help developers in india and southeast asia to publish their games, and compete with the global incumbents.",Ravi vyas,,"1,100,000",Seed
Thehousemonk,2019.0,Bangalore,Real estate,A complete property management software platform for team&customers.,"Ajay kumar, balaji varadharajan",Aurum proptech,5000000,
Arthya wealth and investments,2020.0,Mumbai,Fintech,"A comprehensive, high quality, open-architecture based wealth management and investment advisory platform, to cater to investors across the board: individuals, businesses/corporate treasuries, family offices, trusts and more.",Gaurav arora,"Rishi kumar bagla, krishen lal khanna","1,000,000",Pre-series a
Disruptium,2021.0,Ahmadabad,Consulting,A consultancy platform for startups,"Yash shah, kapil mathrani, ishit desai",Pravesh mehta,"200,000",
Bitscrunch,2020.0,Chennai,Blockchain,A consulting firm focused mainly on data analytics and devops.,Saravanan jaichandaran,"Covalent, double peak, genblock capital, ledger prime, mexc global, synaps",700000,Seed
Bangdb,2015.0,Bangalore,Computer software,A converged nosql data platform for predictive and real-time analytics for operational intelligence,Sachin sinha,Ten innovate,undisclosed,
Ourbetterplanet,2020.0,Bangalore,E-commerce,A curated online marketplace for all things sustainable!,Pallavi srivastava,Vans group,300000,Seed
Jar,2021.0,Bangalore,Fintech,A daily gold-savings app that saves spare change & auto-invests.,"Nishchay ag, misbah ashraf","Tribe capital, arkam ventures, weh, kunal shah",4500000,Pre-series a
Jupiter,2019.0,Mumbai,Banking,"A digital banking experience that keeps pace with you, and helps master money too.",Jitendra gupta,"Nubank, global founders capital, sequoia capital india, matrix partners india",44000000,Series b
Avanti finance,2017.0,Bangalore,Financial services,A digital platform to make financial services accessible to 100 million unserved and underserved households across india,"Nandan nilekani, vijay kelkar","Oikocredit, nomura, the bill & melinda gates foundation",15000000,Series a2
